sub,run,story_id,dur_run,dur_story,diff
01,10,story_10,239.93099999999998,240.0,0.06900000000001683
01,11,story_11,398.348,398.336,0.012000000000000455
01,12,story_12,351.715,351.712,0.002999999999985903
01,13,story_13,323.721,323.744,0.023000000000024556
01,14,story_14,318.96,318.992,0.03200000000003911
01,15,story_15,307.693,307.712,0.019000000000005457
01,16,story_16,294.456,294.496,0.03999999999996362
01,17,story_17,279.97,280.0,0.029999999999972715
01,18,story_18,274.427,274.48,0.05299999999999727
01,19,story_19,263.60200000000003,263.648,0.04599999999999227
01,1,story_1,406.442,406.416,0.02600000000001046
01,20,story_20,240.171,240.224,0.05299999999999727
01,21,story_21,393.516,393.488,0.02800000000002001
01,22,story_22,345.23199999999997,345.232,5.684341886080802e-14
01,23,story_23,322.57,322.608,0.038000000000010914
01,24,story_24,315.656,315.68,0.02400000000000091
01,25,story_25,304.862,304.896,0.033999999999991815
01,26,story_26,295.007,295.024,0.016999999999995907
01,27,story_27,284.80199999999996,284.848,0.04600000000004911
01,28,story_28,274.897,274.928,0.03100000000000591
01,29,story_29,265.453,265.504,0.051000000000044565
01,2,story_2,352.566,352.576,0.010000000000047748
01,30,story_30,240.56,240.624,0.06399999999999295
01,31,story_31,379.22799999999995,379.232,0.004000000000075943
01,32,story_32,335.817,335.84,0.022999999999967713
01,33,story_33,321.591,321.6,0.009000000000014552
01,34,story_34,310.815,310.832,0.016999999999995907
01,35,story_35,304.781,304.816,0.03499999999996817
01,36,story_36,296.407,296.432,0.025000000000034106
01,37,story_37,288.36400000000003,288.416,0.051999999999964075
01,38,story_38,275.597,275.632,0.03500000000002501
01,39,story_39,269.695,269.728,0.03300000000001546
01,3,story_3,319.96999999999997,320.0,0.03000000000002956
01,40,story_40,255.487,255.552,0.06499999999999773
01,41,story_41,367.993,368.0,0.007000000000005002
01,42,story_42,332.275,332.304,0.028999999999996362
01,43,story_43,320.18,320.192,0.012000000000000455
01,44,story_44,308.94399999999996,308.976,0.03200000000003911
01,45,story_45,301.25,301.264,0.014000000000010004
01,46,story_46,298.358,298.4,0.04199999999997317
01,47,story_47,288.94399999999996,288.976,0.03200000000003911
01,48,story_48,275.728,275.76,0.031999999999982265
01,49,story_49,273.356,273.392,0.036000000000001364
01,4,story_4,319.16999999999996,319.184,0.014000000000066848
01,50,story_50,256.21799999999996,256.272,0.05400000000003047
01,51,story_51,352.595,352.608,0.012999999999976808
01,52,story_52,323.07099999999997,323.088,0.01700000000005275
01,53,story_53,324.582,324.608,0.02600000000001046
01,54,story_54,308.37399999999997,308.4,0.02600000000001046
01,55,story_55,300.649,300.672,0.023000000000024556
01,56,story_56,298.849,298.88,0.03100000000000591
