Word ID,Word,Mean of Valid Ratings,SD of Valid Ratings,No.of Valid Ratings
178,泥鳅,1.185185,0.622466,27
179,奴才,2.37037,0.883531,27
180,糯米,1.222222,0.423659,27
181,派驻,3.185185,0.921414,27
182,泡菜,1.481481,0.70002,27
183,坡道,1.777778,0.50637,27
184,扑救,3.074074,1.071517,27
185,朴素,3.666667,0.83205,27
186,期货,2.96,1.398809,25
187,气氛,4.037037,0.854017,27
188,气色,3.259259,1.059484,27
189,前任,2.36,0.860233,25
190,前夕,3.185185,1.241495,27
191,切片,2.5,1.029563,26
192,轻蔑,3.592593,0.930643,27
193,清除,2.961538,1.21592,26
194,确保,3.5,1.104536,26
195,人品,3.703704,1.295401,27
196,仁爱,3.481481,1.122167,27
197,任教,2.884615,1.070586,26
198,容易,3.407407,1.009922,27
199,糅合,3.68,0.9,25
200,纱窗,1.259259,0.525693,27
201,山脉,1.518519,0.893152,27
202,设计,3.259259,1.258589,27
203,生物,2.703704,1.067521,27
204,受刑,2.777778,0.9337,27
205,赎身,2.888889,1.2195,27
206,水饺,1.296296,0.608581,27
207,顺产,1.962963,1.01835,27
208,岁月,3.962963,1.159625,27
209,探望,2.703704,1.265361,27
210,提供,3.333333,1.0,27
211,剃刀,1.481481,0.579812,27
212,天桥,1.518519,0.642733,27
213,瞳孔,1.481481,0.579812,27
214,脱节,3.692308,1.049542,26
215,鸵鸟,1.259259,0.525693,27
216,伪造,3.185185,0.921414,27
217,尾灯,1.777778,1.012739,27
218,文凭,1.925926,0.916764,27
219,西部,3.038462,1.076319,26
220,牺牲,3.08,1.187434,25
221,洗冤,3.5,0.989949,26
222,细腻,3.925926,1.174273,27
223,细致,3.730769,1.185165,26
224,下层,3.346154,0.93562,26
225,险境,3.185185,1.001423,27
226,像样,3.96,0.888819,25
227,小偷,1.703704,0.724028,27
228,心理,3.5,1.029563,26
229,型号,2.653846,1.093336,26
230,修订,2.615385,0.941357,26
231,血压,2.037037,1.091276,27
232,阳光,1.703704,1.102962,27
233,因素,3.884615,0.951921,26
234,阴险,3.653846,0.977438,26
235,影展,1.958333,0.907896,24
236,鱼饵,1.703704,0.6688,27
237,远亲,2.481481,0.848998,27
238,越洋,3.0,1.0,25
239,在意,3.740741,1.022538,27
240,择偶,2.615385,1.168826,26
241,展露,3.269231,1.002305,26
242,珍重,3.592593,1.185141,27
243,整理,2.538462,1.139501,26
244,种植,2.333333,1.074172,27
245,株连,3.846154,0.967153,26
246,专业,2.923077,1.055389,26
247,遵守,3.307692,1.289007,26
248,肮脏,3.21875,1.156591,32
249,胞弟,1.625,0.906962,32
250,备用,3.0625,1.075759,32
251,奔放,3.71875,1.170453,32
252,笔划,1.818182,0.846114,33
253,鞭策,3.606061,1.170988,33
254,辩论,2.848485,1.227834,33
255,标志,2.625,1.039541,32
256,缤纷,3.733333,0.980265,30
257,并重,4.074074,0.780824,27
258,博学,3.787879,0.857233,33
259,残酷,3.363636,1.19421,33
260,常见,3.21875,1.128355,32
261,怅然,3.935484,0.813858,31
262,吃苦,3.121212,1.192623,33
263,齿轮,1.666667,0.989529,33
264,抽筋,2.151515,0.870388,33
265,闯祸,2.78125,1.039056,32
266,撮合,3.1875,0.997982,32
267,打仗,2.15625,0.987319,32
268,低音,2.454545,1.063335,33
269,底片,2.030303,1.045372,33
270,恫吓,3.59375,1.160072,32
271,赌徒,1.939394,1.028937,33
272,厄运,3.5625,1.075759,32
273,噩梦,3.181818,1.33357,33
274,儿童,1.424242,0.560708,33
275,发扬,3.727273,0.977008,33
276,反扑,3.580645,0.847514,31
277,方法,3.454545,1.148121,33
278,诽谤,3.393939,1.116339,33
279,伏特,3.0625,1.435439,32
280,改观,3.69697,1.015038,33
281,干杯,2.060606,1.14399,33
282,干劲,3.4375,0.948258,32
283,告发,3.060606,1.116339,33
284,估价,2.939394,1.058873,33
285,骨头,1.606061,0.899284,33
286,怪诞,3.967742,1.016001,31
287,关节,1.666667,0.816497,33
288,过程,3.484848,1.202113,33
289,还手,2.69697,1.045372,33
290,号称,3.419355,1.088552,31
291,合作,2.75,1.04727,32
292,核对,2.575758,1.14647,33
293,烘烤,1.939394,1.058873,33
294,华裔,1.65625,0.745281,32
295,魂魄,4.4,0.770132,30
296,极品,3.5625,0.948258,32
297,加工,2.515152,0.939455,33
298,假扮,2.969697,1.07485,33
299,解梦,3.909091,1.041742,33
300,巾帼,2.71875,0.991394,32
301,晋见,3.096774,1.274228,31
302,精确,2.939394,1.087985,33
303,旧制,3.096774,1.247794,31
304,看到,2.151515,0.90558,33
305,渴望,3.515152,1.064225,33
306,蓝天,1.515152,0.712444,33
307,勒令,3.064516,1.12355,31
308,联赛,2.121212,0.92728,33
309,凌厉,3.69697,0.98377,33
310,羚羊,1.151515,0.36411,33
311,绿洲,1.96875,0.999496,32
